Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
93.2%,Leo Tolstoy,"Sun, 23 Dec 2018 20:22:45 +0000",You say: I am not free. But I have raised and lowered my arm. Everyone understands that this illogical answer is an irrefutable proof of freedom.,book,,5,47,Liad (ozonzono),3,35 WPM,War and Peace,"[('lowered', '; instead of l'), ('arm.', ', instead of .'), ('Everyone', 'y instead of r'), ('understands', 'm instead of n'), ('this', 'h instead of t'), ('illogical', 'a instead of c'), ('is', 'n instead of s'), ('irrefutable', 'e instead of r'), ('proof', 'f instead of p'), ('freedom.', 'g instead of f')]"
95.0%,James Joyce,"Sun, 23 Dec 2018 20:24:01 +0000","A few light taps upon the pane made him turn to the window. It had begun to snow again. He watched sleepily the flakes, silver and dark, falling obliquely against the lamplight.",book,,4,48,Liad (ozonzono),3,36 WPM,Dubliners,"[('upon', 'm instead of n'), ('made', 'n instead of d'), ('to', 'i instead of o'), ('It', '\\ instead of I'), ('watched', 'r instead of d'), ('sleepily', 'o instead of i'), ('obliquely', 'a instead of a'), ('the', 'h instead of t')]"
94.8%,Elizabeth Laird,"Sun, 23 Dec 2018 20:25:50 +0000","Dani felt as if a path had appeared in front of him. It was temptingly lit, and offered a way out, up and away. But it was impossible to imagine taking the first step. It would mean leaping over a bottomless gulf out of which, once he'd fallen in, he'd never be able to climb again.",book,,5,49,Liad (ozonzono),3,35 WPM,The Garbage King,"[('had', 'f instead of h'), ('in', 'o instead of i'), ('was', 'a instead of w'), ('temptingly', 'n instead of m'), ('lit,', '. instead of ,'), ('offered', 'r instead of e'), ('away.', ' instead of .'), ('imagine', 'n instead of m'), ('would', 'i instead of u'), ('leaping', 'a instead of e'), ('bottomless', 'o instead of t'), ('which,', 'v instead of c'), (""he'd"", 'g instead of h')]"
94.5%,R.J. Palacio,"Sun, 23 Dec 2018 20:27:03 +0000","Now that I look back, I don't know why I was so stressed about it all this time. Funny how sometimes you worry a lot about something and it turns out to be nothing.",book,,5,50,Liad (ozonzono),3,35 WPM,Wonder,"[('back,', 'd instead of c'), ('was', 'a instead of w'), ('stressed', 'e instead of r'), ('you', 't instead of y'), ('worry', 'a instead of w'), ('about', 'y instead of u'), ('something', 'u instead of n'), ('turns', 'r instead of t')]"
92.4%,10cc,"Sun, 23 Dec 2018 20:27:57 +0000",Do the Wall Street shuffle. Hear the money rustle. Watch the greenbacks tumble. Feel the Sterling crumble.,song,,5,51,Liad (ozonzono),5,33 WPM,The Wall Street Shuffle,"[('Do', 'p instead of o'), ('shuffle.', 'l instead of f'), ('Watch', '/ instead of W'), ('Feel', 'k instead of l'), ('Sterling', 'e instead of t'), ('crumble.', 'y instead of u')]"
94.0%,Guy Ritchie,"Mon, 24 Dec 2018 06:22:20 +0000","Well this seems to be a waste of my time. That is nine hundred nicker in any shop you're lucky enough to find one in, and you're complaining about two hundred? What school of finance did you study? It's a deal, it's a steal, it's the sale of the beeping century! In fact, beep it Nick, I think I'll keep it!",movie,vikashrajhil (3rd place),5,52,Liad (ozonzono),2,32 WPM,"Lock, Stock, and Two Smoking Barrels","[('Well', 'E instead of W'), ('this', 'o instead of i'), ('waste', 'o instead of e'), ('nicker', 'h instead of k'), ('shop,', '. instead of ,'), ('lucky', '; instead of l'), ('enough', 'm instead of n'), ('find', 'd instead of n'), ('complaining', 'a instead of c'), ('of', ' instead of f'), ('finance', 'c instead of n'), ('did', 'o instead of i'), ('study?', '> instead of ?'), (""it's"", 't instead of s'), ('century!', 'e instead of y'), ('In', 'U instead of I'), ('fact,', 'a instead of c'), ('beep', 'i instead of i'), ('Nick,', 'n instead of N'), ('think', 'm instead of n')]"
96.0%,Martin Scorsese,"Mon, 24 Dec 2018 06:23:43 +0000",I called Betsy again at her office and she said maybe we'd go to a movie together after she gets off work tomorrow. That's my day off. At first she hesitated but I called her again and then she agreed.,movie,funkymonkeyyy (5th place),5,53,Liad (ozonzono),3,40 WPM,Taxi Driver,"[('said', 'n instead of d'), ('maybe', ', instead of m'), ('together', 'h instead of e'), ('my', ', instead of m'), ('but', 'n instead of b'), ('her', 'g instead of e'), ('she', 'a instead of s')]"
95.3%,J.K. Rowling,"Mon, 24 Dec 2018 06:25:30 +0000","From the tip of his wand burst the silver doe. She landed on the office floor, bounded once across the office, and soared out of the window. Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",book,,5,54,Liad (ozonzono),3,37 WPM,Harry Potter and the Deathly Hallows,"[('tip', 'o instead of p'), ('office', 'd instead of f'), ('bounded', 'p instead of o'), ('Dumbledore', ' instead of d'), ('watched', 'r instead of d'), ('her', 'j instead of h'), ('away,', 'e instead of w'), ('faded', 'd instead of h'), ('eyes', 'd instead of s'), ('were', 'w instead of e')]"
95.3%,John Green,"Mon, 24 Dec 2018 06:26:52 +0000","The weird thing about houses is that they almost always look like nothing is happening inside of them, even though they contain most of our lives. I wondered if that was sort of the point of architecture.",book,,5,55,Liad (ozonzono),4,39 WPM,The Fault in Our Stars,"[('weird', 'i instead of e'), ('houses', 's instead of u'), ('is', 'd instead of s'), ('always', 't instead of y'), ('happening', 'o instead of e'), ('them,', '. instead of ,'), ('lives.', 'o instead of l'), ('architecture.', 'e instead of t')]"
94.7%,Battles,"Mon, 24 Dec 2018 06:28:54 +0000","People won't be people when you hear this sound, that's been glowing in the dark at the edge of the town. People won't be people, no, the people won't be people when they hear this sound. Won't you show me what begins at the edge of the town?",song,cfoods (3rd place) kalongip (2nd place) meatboyed (1st place),5,56,Liad (ozonzono),4,37 WPM,Atlas,"[('glowing', 'n instead of i'), ('town.', 'w instead of t'), ('People', 'o instead of e'), ('people,', ' instead of ,'), (""won't"", ""\\ instead of '""), ('sound.', 't instead of d'), (""Won't"", 'i instead of o'), ('you', 't instead of y'), ('what', 'a instead of h'), ('edge', 'g instead of d'), ('town?', 'w instead of t')]"
94.3%,Jonathan Swift,"Mon, 24 Dec 2018 06:31:00 +0000","I walked awhile among the rocks: the sky was perfectly clear, and the sun so hot, that I was forced to turn my face from it: when all of a sudden it became obscure, as I thought, in a manner very different from what happens by the interposition of a cloud.",book,,5,57,Liad (ozonzono),4,37 WPM,Gulliver's Travels,"[('walked', 'w instead of l'), ('rocks:', '"" instead of :'), ('sky', 'l instead of k'), ('so', 'n instead of h'), ('my', ', instead of m'), ('face', 'e instead of a'), ('when', 'a instead of e'), ('sudden', 'f instead of d'), ('obscure,', ' instead of ,'), ('different', 'n instead of r'), ('from', 'n instead of m'), ('happens', 'o instead of p'), ('by', 'n instead of b'), ('interposition', 'r instead of p'), ('cloud.', ', instead of .')]"
94.8%,Microsoft,"Mon, 24 Dec 2018 06:32:52 +0000",The machinery in these canyons are Halo's primary firing mechanisms. They consist of three phase pulse generators that amplify Halo's signal and allow it to fire deep into space. The power levels are enormous I can't even begin to calculate the pulse's range.,game,,4,58,Liad (ozonzono),3,32 WPM,Halo: Combat Evolved,"[('these', 'r instead of s'), (""Halo's"", 'G instead of H'), ('primary', 'o instead of i'), ('They', 'Y instead of T'), ('three', 'e instead of r'), ('phase', 'a instead of h'), (""Halo's"", 'k instead of l'), ('signal', 'o instead of i'), ('and', ' instead of d'), ('space.', 'e instead of a'), ('The', 'Y instead of T'), ('power', 'e instead of w'), ('enormous', 'u instead of r')]"
95.4%,Elvis Costello,"Mon, 24 Dec 2018 06:34:36 +0000",She may be the face I can't forget. The trace of pleasure or regret may be my treasure or the price I have to pay. She may be the song that summer sings. May be the chill the autumn brings. May be a hundred different things within the measure of a day.,song,,5,59,Liad (ozonzono),4,39 WPM,She,"[(""can't"", 'y instead of t'), ('treasure', 'i instead of u'), ('pay.', 'l instead of .'), ('the', 'w instead of e'), ('May', 'N instead of M'), ('brings.', 'd instead of s'), ('May', 'N instead of M'), ('different', 'n instead of e'), ('things', 'm instead of n'), ('the', ' instead of e')]"
94.1%,Burton G. Malkiel,"Mon, 24 Dec 2018 06:36:38 +0000","Perhaps the most successful disciple of the Graham and Dodd approach was a canny midwesterner named Warren Buffett, who is often called ""the sage of Omaha."" Buffett compiled a legendary investment record, allegedly following the approach of the firm-foundation theory.",book,,5,60,Liad (ozonzono),5,31 WPM,A Random Walk Down Wall Street,"[('most', 'i instead of o'), ('disciple', 'c instead of s'), ('Graham', 'g instead of h'), ('Dodd', 'i instead of o'), ('midwesterner', 's instead of d'), ('Buffett,', 't instead of f'), ('who', 'i instead of o'), ('""the', ' instead of t'), ('Omaha.""', 'n instead of m'), ('compiled', 'o instead of i'), ('investment', 'i instead of n'), ('record,', 'n instead of r'), ('firm-foundation', '= instead of -'), ('theory.', ', instead of .')]"
95.4%,Billy Joel,"Mon, 24 Dec 2018 06:37:41 +0000","She takes care of herself, she can wait if she wants, she's ahead of her time. Oh, and she never gives out and she never gives in. She just changes her mind.",song,funkymonkeyyy (4th place),5,61,Liad (ozonzono),3,38 WPM,She's Always A Woman,"[('wants,', 'e instead of w'), ('ahead', 'o instead of e'), ('her', 't instead of h'), ('gives', 'o instead of i'), ('she', 'a instead of s'), ('just', 'h instead of j'), ('changes', 'a instead of h')]"
97.1%,Patrick deWitt,"Mon, 24 Dec 2018 06:39:00 +0000","He implies there is a correlation between his daily work and the drawings, which leads people to believe he is some type of an architect, but you suspect there is no place for him with even the most incompetent firm.",book,maheshwar (3rd place) naved_332017 (4th place),5,62,Liad (ozonzono),5,39 WPM,Ablutions: Notes For a Novel,"[('implies', 's instead of e'), ('which', 'h instead of w'), ('you', 't instead of y'), ('him', 'n instead of m'), ('firm.', 'e instead of r')]"
94.0%,Universal Studios Home Entertainment,"Mon, 24 Dec 2018 06:41:02 +0000","I would like to be President someday, so no, I have not smoked marijuana. I ate a brownie once at a party in college. It was intense. It was kind of indescribable actually. I felt like I was floating. Turns out there wasn't any pot in the brownie, it was just an insanely good brownie.",other,,4,63,Liad (ozonzono),2,33 WPM,Parks and Recreation,"[('someday,', 's instead of d'), ('no,', ' instead of ,'), ('marijuana.', ', instead of .'), ('It', 'U instead of I'), ('kind', 'l instead of k'), ('actually.', ' instead of .'), ('I', 'i instead of I'), ('was', 'a instead of w'), ('Turns', 'y instead of u'), (""wasn't"", ""' instead of n""), ('brownie,', 'o instead of r'), ('was', 'a instead of w'), ('just', 'h instead of j'), ('an', 't instead of a'), ('insanely', 'b instead of n'), ('brownie.', 'i instead of n')]"
92.7%,Robert T. Kiyosaki,"Mon, 24 Dec 2018 06:42:29 +0000","When someone sues a wealthy individual, they are often met with layers of legal protection and often find that the wealthy person actually owns nothing. They control everything, but own nothing.",book,,5,64,Liad (ozonzono),2,35 WPM,Rich Dad Poor Dad,"[('sues', 'd instead of s'), ('wealthy', 't instead of l'), ('individual,', 'u instead of i'), ('are', ' instead of e'), ('often', 'm instead of n'), ('legal', 'n instead of l'), ('protection', 'o instead of p'), ('and', ' instead of d'), ('often', 't instead of f'), ('that', 'e instead of a'), ('wealthy', 'a instead of e'), ('nothing.', 't instead of n'), ('They', ' instead of y'), ('control', 'n instead of l')]"
97.8%,Edgar Wright,"Mon, 24 Dec 2018 06:44:08 +0000",We are Sex Bob-Omb and we are here to make you think about death and get sad and stuff!,movie,,5,65,Liad (ozonzono),5,41 WPM,Scott Pilgrim vs. The World,"[('Sex', 'c instead of x'), ('Bob-Omb', 'n instead of b')]"
96.2%,2K Games,"Mon, 24 Dec 2018 06:44:57 +0000","In preparing for battle I have always found that plans are useless, but planning is indispensable.",game,,4,66,Liad (ozonzono),3,39 WPM,Civilization V,"[('are', ' instead of e'), ('planning', 'g instead of n'), ('indispensable.', 'v instead of b')]"
96.7%,Counting Crows,"Mon, 24 Dec 2018 06:46:29 +0000",There's a piece of Maria in every song that I sing. And the price of a memory is the memory of the sorrow it brings. And there is always one last light to turn out and one last bell to ring. And the last one out of the circus has to lock up everything.,song,,5,67,Liad (ozonzono),3,43 WPM,Mrs. Potter's Lullaby,"[('piece', '[ instead of p'), ('every', 'y instead of r'), ('of', 's instead of f'), ('brings.', 'o instead of i'), ('and', 'o instead of a'), ('ring.', 't instead of r'), ('circus', 'u instead of i'), ('everything.', '/ instead of .')]"
96.4%,William Zinsser,"Mon, 24 Dec 2018 06:47:56 +0000","Writing is hard work. A clear sentence is no accident. Very few sentences come out right the first time, or even the third time. Remember this in moments of despair. If you find that writing is hard, it's because it is hard.",book,funkymonkeyyy (3rd place),5,68,Liad (ozonzono),2,39 WPM,On Writing Well,"[('sentence', 'a instead of e'), ('or', 'f instead of r'), ('Remember', 'v instead of b'), ('moments', 'n instead of m'), ('despair.', 'o instead of p'), ('writing', 'h instead of i'), ('hard,', '. instead of ,'), ('because', 'u instead of e')]"
95.8%,Alejandro Iñárritu,"Mon, 24 Dec 2018 06:49:07 +0000","I'd pull your eyes out of your head, and put them in my own skull, and look around, so I could see the street the way I used to when I was your age.",movie,awaisimu (3rd place),5,69,Liad (ozonzono),4,41 WPM,Birdman,"[('them', 'h instead of t'), ('in', ' instead of n'), ('own', 'e instead of w'), ('skull,', 'l instead of k'), ('street', 'e instead of r'), ('used', 'w instead of u'), ('age.', ', instead of .')]"
94.5%,Margaret Atwood,"Mon, 24 Dec 2018 06:50:36 +0000",We were the people who were not in the papers. We lived in the blank white spaces at the edges of print. It gave us more freedom. We lived in the gaps between the stories.,book,,5,70,Liad (ozonzono),4,32 WPM,The Handmaid's Tale,"[('We', 'E instead of e'), ('people', 'r instead of e'), ('were', 'e instead of w'), ('spaces', 'o instead of p'), ('print.', 'o instead of i'), ('more', 'e instead of r'), ('freedom.', ' instead of .'), ('stories.', 'd instead of s')]"
96.9%,Nintendo,"Mon, 24 Dec 2018 06:54:12 +0000","I once lived in the Lost Woods, until the day I wandered into a magic transporter. The power of the Dark World quickly turned me into this tree shape. I guess the two forests are connected with each other.",game,,5,71,Liad (ozonzono),3,39 WPM,The Legend of Zelda: A Link to the Past,"[('Lost', '"" instead of L'), ('Woods,', ' instead of ,'), ('wandered', 'a instead of w'), ('this', 'h instead of t'), ('I', '\\ instead of I'), ('two', 'o instead of w')]"
97.6%,Sid Meier,"Mon, 24 Dec 2018 06:55:20 +0000","Music finds a comfortable parallel with that of human language. Much as language has words, sentences, and stories, music has tones, melodies, and songs.",game,,5,72,Liad (ozonzono),4,38 WPM,Civilization IV,"[('finds', 'a instead of s'), ('parallel', 'd instead of l'), ('language.', 'g instead of a'), ('sentences,', 'n instead of ,')]"
96.4%,Bruno Heller,"Mon, 24 Dec 2018 06:56:27 +0000","Who am I? I haunt your dreams like a ghost, for I know what scares you most. So you run, run! As fast as you can! There's no escape from the magic man.",other,izmepol (3rd place),5,73,Liad (ozonzono),2,36 WPM,Gotham,"[('ghost,', 'i instead of s'), ('As', 'a instead of A'), ('can!', 'm instead of n'), (""There's"", 't instead of T'), ('magic', 'o instead of g')]"
92.8%,Chase Coy,"Mon, 24 Dec 2018 07:02:34 +0000","I must have done something right, to deserve you in my life... I must have done something right along the way.",song,mlgbear (2nd place),5,74,Liad (ozonzono),1,38 WPM,If The Moon Fell Down,"[('must', 'h instead of t'), ('something', 'n instead of m'), ('right,', 't instead of r'), ('deserve', 'e instead of v'), ('you', 't instead of y'), ('life...', 'k instead of l'), ('I', 'i instead of I'), ('done', 'f instead of d')]"
